s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2016-08-21 2:50
1.34,1.33371476,1.32733456,1.32229135,1.32012626,1.31842275,1.34,2015-12-10 17:50
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-12-12 11:50
1.29,1.28215921,1.27452091,1.26747695,1.26113631,1.25555045,1.29,2015-12-29 22:50
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.07,2013-08-19 11:10
1.09,1.09229096,1.09393166,1.0955549,1.09600421,1.09584305,1.09,2016-02-28 21:10
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,1,2014-02-01 11:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2015-02-25 9:10
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2015-03-28 2:40
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2013-03-27 21:20
1.15,1.14658475,1.14331025,1.14034645,1.13774885,1.13551375,1.14,2016-10-10 0:20
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,0.99,2015-08-02 8:30
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2013-02-25 22:00
1.21,1.20468809,1.19954339,1.19483095,1.19062919,1.18695805,1.21,2014-08-16 0:10
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2013-05-15 22:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-04-14 9:10
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.04,2013-03-23 15:50
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-10-11 21:40
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2014-11-23 0:50
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-12-20 3:10
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2013-01-31 14:00
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2016-07-19 1:30
